Case ID	KEAP1	TMTC1	OR4C16	ZNF676	STK11	TP53	KRAS	EGFR	CDKN2A	MAGEC1	NAV3	CDH10	MROH2B	OR5W2	OR5D14	RIT1	LRRTM4	NRG3	U2AF1	TBX22	BAGE2	OR4C15	ZNF492	FERD3L	OR2T34	CCDC178	SERPINB4	ZNF804A	PABPC3	EPHA6	ELTD1	OR2L3	REG1B	CD5L	CNBD1	REG3A	GABRB3	OR2T4	TRIM58	OR4A5	NRAS	BRAF	OR2L8	HGF	OR8H2	ADAMTS2	ZNF268	OR5I1	KCNT2	THEMIS	GBA3	ASTN2	
TCGA-50-5935-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-5941-01	  	MUT;	MUT;	  	  	MUT;	MUT;AMP;	  	  	MUT;	MUT;	  	  	  	MUT;	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	
TCGA-50-5942-01	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	
TCGA-50-5944-01	  	  	  	  	  	MUT;	  	MUT;	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	
TCGA-50-5946-01	  	  	  	  	  	MUT;	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-6591-01	  	  	  	  	  	MUT;	  	MUT;AMP;	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-6592-01	  	  	MUT;	  	HOMDEL;	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-6593-01	  	  	  	  	  	MUT;	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	
TCGA-50-6594-01	  	  	MUT;HOMDEL;	  	  	MUT;	  	  	AMP;	MUT;	  	AMP;	AMP;	HOMDEL;	HOMDEL;	  	  	  	  	  	  	HOMDEL;	  	  	MUT;	  	  	MUT;	  	  	MUT;	  	  	  	MUT;	  	  	MUT;	  	MUT;HOMDEL;	  	MUT;	  	  	HOMDEL;	AMP;	  	HOMDEL;	  	  	  	  	
TCGA-55-6543-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-67-4679-01	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	
TCGA-67-6215-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	AMP;	  	  	  	MUT;	  	  	AMP;	  	MUT;AMP;	  	  	  	AMP;	AMP;	MUT;	  	  	AMP;	  	  	  	  	  	AMP;	  	  	  	
TCGA-67-6216-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-67-6217-01	  	  	  	  	  	  	  	MUT;	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-73-4658-01	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	
TCGA-73-4676-01	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-5122-01	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-5125-01	  	MUT;	  	  	  	MUT;	  	  	HOMDEL;	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-5126-01	  	MUT;	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-6203-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	MUT;	  	  	  	  	
TCGA-75-6205-01	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-6206-01	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-6207-01	  	  	  	MUT;	  	MUT;	  	MUT;	  	MUT;	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-75-6211-01	MUT;	  	  	  	  	MUT;	HOMDEL;	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	MUT;	  	  	HOMDEL;	  	MUT;	  	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	MUT;	
TCGA-75-6212-01	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-86-6562-01	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	AMP;	  	AMP;	  	  	  	AMP;	AMP;	  	AMP;	  	AMP;	  	  	  	  	  	AMP;	  	  	  	
TCGA-05-4396-01	  	MUT;	MUT;	  	  	MUT;	  	MUT;	  	MUT;	MUT;	MUT;AMP;	MUT;AMP;	  	  	MUT;AMP;	  	MUT;	  	MUT;	  	MUT;	  	  	AMP;	MUT;	  	MUT;	  	MUT;	MUT;	MUT;AMP;	  	MUT;AMP;	  	MUT;	MUT;	MUT;AMP;	AMP;	  	AMP;	  	MUT;AMP;	MUT;	MUT;	  	  	MUT;	MUT;AMP;	MUT;	  	MUT;AMP;	
TCGA-05-4405-01	  	  	  	  	  	MUT;	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-05-4410-01	  	  	  	  	  	MUT;	  	MUT;	  	MUT;	  	MUT;	MUT;	  	  	  	MUT;	MUT;	  	  	  	  	MUT;	  	  	MUT;	  	  	MUT;	  	  	  	  	MUT;	  	MUT;	  	MUT;	  	  	  	MUT;	  	MUT;	MUT;	  	  	  	MUT;	MUT;	  	  	
TCGA-05-4415-01	HOMDEL;	MUT;	  	  	MUT;	  	MUT;	AMP;	  	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-05-4417-01	  	  	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-05-4424-01	  	  	  	MUT;	  	MUT;	  	  	  	  	  	MUT;AMP;	MUT;AMP;	  	  	  	  	MUT;	  	  	  	  	  	MUT;	MUT;	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	MUT;	MUT;	  	  	  	
TCGA-05-4427-01	  	MUT;	  	  	  	MUT;	MUT;	  	  	MUT;	  	MUT;	MUT;	  	  	AMP;	  	MUT;	  	  	  	  	  	  	MUT;	  	  	MUT;	MUT;	MUT;	MUT;	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	MUT;	MUT;	MUT;	MUT;	  	  	MUT;	  	  	MUT;AMP;	
TCGA-05-4433-01	  	AMP;	  	  	  	MUT;	MUT;AMP;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	
TCGA-44-6774-01	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6775-01	  	  	  	  	  	MUT;HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6776-01	MUT;	  	  	  	MUT;	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6777-01	  	  	  	MUT;	  	MUT;	MUT;	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	
TCGA-44-6778-01	MUT;	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-6779-01	MUT;	  	  	  	MUT;	MUT;	  	  	HOMDEL;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-4487-01	  	  	MUT;	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	MUT;AMP;	  	  	  	  	  	  	AMP;	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	
TCGA-49-4490-01	  	  	  	  	  	MUT;	  	MUT;	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-4512-01	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-4514-01	MUT;	  	  	  	  	MUT;	  	  	  	  	MUT;	MUT;	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	
TCGA-49-6742-01	MUT;	  	  	  	  	  	  	  	HOMDEL;	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	MUT;	  	  	  	
TCGA-49-6743-01	MUT;	  	MUT;	  	  	  	  	  	  	  	MUT;	MUT;	MUT;	  	  	  	MUT;	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	MUT;	  	  	  	
TCGA-49-6744-01	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-6745-01	  	AMP;	  	  	  	  	AMP;	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-49-6767-01	  	  	  	  	  	MUT;	  	  	HOMDEL;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	MUT;	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	
TCGA-50-5044-01	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	HOMDEL;	MUT;	  	  	  	  	  	  	  	  	  	  	
TCGA-50-5051-01	MUT;	  	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-5072-01	  	  	  	  	MUT;	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	
TCGA-50-6590-01	  	  	  	  	  	MUT;	  	  	  	MUT;AMP;	  	MUT;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;AMP;	  	  	  	  	  	MUT;	AMP;	  	  	  	  	MUT;	AMP;	MUT;AMP;	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	
TCGA-50-6595-01	  	  	  	  	  	MUT;	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-50-6597-01	  	  	  	AMP;	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	AMP;	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	
TCGA-55-6642-01	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	
TCGA-55-6712-01	  	  	  	  	  	MUT;	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-71-6725-01	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-91-6828-01	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-91-6829-01	  	MUT;	  	  	  	MUT;	  	  	  	  	  	AMP;	AMP;	  	  	AMP;	  	  	  	  	  	MUT;	  	AMP;	AMP;	  	  	  	  	AMP;	MUT;	MUT;AMP;	  	AMP;	  	MUT;	  	AMP;	AMP;	  	  	  	AMP;	MUT;	  	  	  	  	  	  	MUT;	MUT;	
TCGA-91-6831-01	  	  	MUT;	  	  	MUT;	  	  	HOMDEL;	  	HOMDEL;	MUT;	MUT;AMP;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	
TCGA-91-6835-01	  	AMP;	  	  	  	  	AMP;	MUT;	  	  	  	MUT;	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-91-6836-01	  	AMP;	  	  	  	MUT;	MUT;AMP;	  	  	  	MUT;	  	  	MUT;	  	MUT;AMP;	  	  	  	  	  	  	  	  	  	MUT;	  	MUT;	  	  	  	  	  	AMP;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	MUT;	  	  	  	
TCGA-35-3615-01	MUT;	  	  	  	MUT;	  	MUT;	  	  	  	  	MUT;	  	  	  	AMP;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	HOMDEL;	  	  	HOMDEL;	  	  	
TCGA-44-2655-01	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	AMP;	  	  	  	  	  	  	AMP;	  	AMP;	  	  	  	AMP;	MUT;AMP;	  	  	  	AMP;	  	  	  	  	  	AMP;	  	  	  	
TCGA-44-2656-01	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	MUT;	MUT;	MUT;	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	
TCGA-44-2659-01	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	  	  	  	
TCGA-44-2662-01	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	
TCGA-44-2665-01	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-44-2666-01	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	
TCGA-44-2668-01	  	  	  	  	  	MUT;	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	MUT;	MUT;	  	  	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	
TCGA-55-1592-01	  	  	  	  	  	MUT;	AMP;	  	HOMDEL;	AMP;	  	AMP;	AMP;	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	AMP;	  	MUT;	  	  	  	  	AMP;	  	  	  	  	MUT;	  	  	MUT;	  	  	
TCGA-55-1594-01	  	  	  	  	  	MUT;	  	AMP;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-55-1595-01	  	  	MUT;	MUT;	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-55-1596-01	  	  	  	  	MUT;	MUT;	  	  	  	  	  	  	AMP;	  	  	MUT;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	
TCGA-64-1676-01	  	  	  	  	  	MUT;	  	  	  	  	  	  	MUT;	  	  	AMP;	MUT;AMP;	  	  	  	  	  	  	MUT;	  	  	  	MUT;	  	  	  	  	  	AMP;	  	  	  	  	  	  	  	  	MUT;	MUT;	  	MUT;	  	  	MUT;	  	  	AMP;	
TCGA-64-1677-01	  	  	  	  	  	MUT;	MUT;	  	  	MUT;	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	HOMDEL;	MUT;	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-64-1678-01	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-64-1680-01	  	  	  	  	  	  	  	  	HOMDEL;	  	  	  	  	  	  	  	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
TCGA-67-3770-01	  	  	  	  	  	MUT;	  	MUT;	HOMDEL;	  	  	MUT;	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
